Name	PrecentFrequency	ApproximateNumber	Rank
FRANKLIN	0.051	126,837	199
LAWSON	0.051	126,837	200
FIELDS	0.051	126,837	201
GUTIERREZ	0.051	126,837	202
RYAN	0.051	126,837	203
SCHMIDT	0.051	126,837	204
CARR	0.051	126,837	205
VASQUEZ	0.051	126,837	206
CASTILLO	0.051	126,837	207
WHEELER	0.051	126,837	208
CHAPMAN	0.05	124,350	209
OLIVER	0.05	124,350	210
MONTGOMERY	0.049	121,863	211
RICHARDS	0.049	121,863	212
WILLIAMSON	0.049	121,863	213
JOHNSTON	0.049	121,863	214
BANKS	0.048	119,376	215
MEYER	0.048	119,376	216
BISHOP	0.048	119,376	217
MCCOY	0.048	119,376	218
HOWELL	0.048	119,376	219
ALVAREZ	0.048	119,376	220
MORRISON	0.048	119,376	221
HANSEN	0.047	116,889	222
FERNANDEZ	0.047	116,889	223
GARZA	0.047	116,889	224
HARVEY	0.047	116,889	225
LITTLE	0.046	114,402	226
BURTON	0.046	114,402	227
STANLEY	0.046	114,402	228
NGUYEN	0.046	114,402	229
GEORGE	0.046	114,402	230
JACOBS	0.046	114,402	231
REID	0.046	114,402	232
KIM	0.045	111,915	233
FULLER	0.045	111,915	234
LYNCH	0.045	111,915	235
DEAN	0.045	111,915	236
GILBERT	0.045	111,915	237
GARRETT	0.045	111,915	238
ROMERO	0.045	111,915	239
WELCH	0.044	109,428	240
LARSON	0.044	109,428	241
FRAZIER	0.044	109,428	242
BURKE	0.044	109,428	243
HANSON	0.043	106,941	244
DAY	0.043	106,941	245
MENDOZA	0.043	106,941	246
MORENO	0.043	106,941	247
BOWMAN	0.043	106,941	248
MEDINA	0.042	104,454	249
FOWLER	0.042	104,454	250
BREWER	0.042	104,454	251
HOFFMAN	0.042	104,454	252
CARLSON	0.042	104,454	253
SILVA	0.042	104,454	254
PEARSON	0.042	104,454	255
HOLLAND	0.042	104,454	256
DOUGLAS	0.041	101,967	257
FLEMING	0.041	101,967	258
JENSEN	0.041	101,967	259
VARGAS	0.041	101,967	260
BYRD	0.041	101,967	261
DAVIDSON	0.041	101,967	262
HOPKINS	0.041	101,967	263
MAY	0.04	99,480	264
TERRY	0.04	99,480	265
HERRERA	0.04	99,480	266
WADE	0.04	99,480	267
SOTO	0.04	99,480	268
WALTERS	0.04	99,480	269
CURTIS	0.04	99,480	270
NEAL	0.039	96,993	271
CALDWELL	0.039	96,993	272
LOWE	0.039	96,993	273
JENNINGS	0.039	96,993	274
BARNETT	0.039	96,993	275
GRAVES	0.039	96,993	276
JIMENEZ	0.039	96,993	277
HORTON	0.039	96,993	278
SHELTON	0.039	96,993	279
BARRETT	0.039	96,993	280
OBRIEN	0.039	96,993	281
CASTRO	0.039	96,993	282
SUTTON	0.038	94,506	283
GREGORY	0.038	94,506	284
MCKINNEY	0.038	94,506	285
LUCAS	0.038	94,506	286
MILES	0.038	94,506	287
CRAIG	0.038	94,506	288
RODRIQUEZ	0.037	92,019	289
CHAMBERS	0.037	92,019	290
HOLT	0.037	92,019	291
LAMBERT	0.037	92,019	292
FLETCHER	0.037	92,019	293
WATTS	0.037	92,019	294
BATES	0.037	92,019	295
HALE	0.037	92,019	296
RHODES	0.037	92,019	297
PENA	0.037	92,019	298
BECK	0.037	92,019	299
NEWMAN	0.036	89,532	300
HAYNES	0.036	89,532	301
MCDANIEL	0.036	89,532	302
MENDEZ	0.036	89,532	303
BUSH	0.036	89,532	304
VAUGHN	0.036	89,532	305
PARKS	0.035	87,045	306
DAWSON	0.035	87,045	307
SANTIAGO	0.035	87,045	308
NORRIS	0.035	87,045	309
HARDY	0.035	87,045	310
LOVE	0.035	87,045	311
STEELE	0.035	87,045	312
CURRY	0.035	87,045	313
POWERS	0.035	87,045	314
SCHULTZ	0.035	87,045	315
BARKER	0.035	87,045	316
GUZMAN	0.034	84,558	317
PAGE	0.034	84,558	318
MUNOZ	0.034	84,558	319
BALL	0.034	84,558	320
KELLER	0.034	84,558	321
CHANDLER	0.034	84,558	322
WEBER	0.034	84,558	323
LEONARD	0.034	84,558	324
WALSH	0.033	82,071	325
LYONS	0.033	82,071	326
RAMSEY	0.033	82,071	327
WOLFE	0.033	82,071	328
SCHNEIDER	0.033	82,071	329
MULLINS	0.033	82,071	330
BENSON	0.033	82,071	331
SHARP	0.033	82,071	332
BOWEN	0.033	82,071	333
DANIEL	0.033	82,071	334
BARBER	0.032	79,584	335
CUMMINGS	0.032	79,584	336
HINES	0.032	79,584	337
BALDWIN	0.032	79,584	338
GRIFFITH	0.032	79,584	339
VALDEZ	0.032	79,584	340
HUBBARD	0.032	79,584	341
SALAZAR	0.032	79,584	342
REEVES	0.032	79,584	343
WARNER	0.031	77,097	344
STEVENSON	0.031	77,097	345
BURGESS	0.031	77,097	346
SANTOS	0.031	77,097	347
TATE	0.031	77,097	348
CROSS	0.031	77,097	349
GARNER	0.031	77,097	350
MANN	0.031	77,097	351
MACK	0.031	77,097	352
MOSS	0.031	77,097	353
THORNTON	0.031	77,097	354
DENNIS	0.031	77,097	355
MCGEE	0.031	77,097	356
FARMER	0.03	74,610	357
DELGADO	0.03	74,610	358
AGUILAR	0.03	74,610	359
VEGA	0.03	74,610	360
GLOVER	0.03	74,610	361
MANNING	0.03	74,610	362
COHEN	0.03	74,610	363
HARMON	0.03	74,610	364
RODGERS	0.03	74,610	365
ROBBINS	0.03	74,610	366
NEWTON	0.03	74,610	367
TODD	0.03	74,610	368
BLAIR	0.03	74,610	369
HIGGINS	0.03	74,610	370
INGRAM	0.03	74,610	371
REESE	0.03	74,610	372
CANNON	0.03	74,610	373
STRICKLAND	0.03	74,610	374
TOWNSEND	0.03	74,610	375
POTTER	0.03	74,610	376
GOODWIN	0.03	74,610	377
WALTON	0.03	74,610	378
ROWE	0.029	72,123	379
HAMPTON	0.029	72,123	380
ORTEGA	0.029	72,123	381
PATTON	0.029	72,123	382
SWANSON	0.029	72,123	383
JOSEPH	0.029	72,123	384
FRANCIS	0.029	72,123	385
GOODMAN	0.029	72,123	386
MALDONADO	0.029	72,123	387
YATES	0.029	72,123	388
BECKER	0.029	72,123	389
ERICKSON	0.029	72,123	390
HODGES	0.029	72,123	391
RIOS	0.029	72,123	392
CONNER	0.029	72,123	393
ADKINS	0.029	72,123	394
WEBSTER	0.028	69,636	395
NORMAN	0.028	69,636	396
MALONE	0.028	69,636	397
HAMMOND	0.028	69,636	398
FLOWERS	0.028	69,636	399
COBB	0.028	69,636	400
MOODY	0.028	69,636	401
QUINN	0.028	69,636	402
BLAKE	0.028	69,636	403
MAXWELL	0.028	69,636	404
POPE	0.028	69,636	405
FLOYD	0.027	67,149	406
OSBORNE	0.027	67,149	407
PAUL	0.027	67,149	408
MCCARTHY	0.027	67,149	409
GUERRERO	0.027	67,149	410
LINDSEY	0.027	67,149	411
ESTRADA	0.027	67,149	412
SANDOVAL	0.027	67,149	413
GIBBS	0.027	67,149	414
TYLER	0.027	67,149	415
GROSS	0.027	67,149	416
FITZGERALD	0.027	67,149	417
STOKES	0.027	67,149	418
DOYLE	0.027	67,149	419
SHERMAN	0.027	67,149	420
SAUNDERS	0.027	67,149	421
WISE	0.027	67,149	422
COLON	0.027	67,149	423
GILL	0.027	67,149	424
ALVARADO	0.027	67,149	425
GREER	0.026	64,662	426
PADILLA	0.026	64,662	427
SIMON	0.026	64,662	428
WATERS	0.026	64,662	429
